Name,Platform,Global_Sales
Wii Party,Wii,8.38
Mario Party 8,Wii,8.27
FIFA Soccer 13,PS3,8.16
Final Fantasy X,PS2,8.05
The Sims 3,PC,8.01
Final Fantasy VIII,PS,7.86
Pokémon Platinum Version,DS,7.72
Grand Theft Auto: Liberty City Stories,PSP,7.69
Call of Duty: Advanced Warfare,PS4,7.66
FIFA 17,PS4,7.59
Super Mario Galaxy 2,Wii,7.51
Call of Duty: World at War,X360,7.38
Battlefield 3,X360,7.32
Need for Speed Underground,PS2,7.2
Just Dance,Wii,7.2
Battlefield 3,PS3,7.17
Fallout 4,PS4,7.16
Tekken 3,PS,7.16
The Legend of Zelda: Twilight Princess,Wii,7.15
Crash Bandicoot 3: Warped,PS,7.13
Mario Kart 8,WiiU,7.09
Super Smash Bros. Melee,GC,7.07
Need for Speed Underground 2,PS2,6.9
Medal of Honor: Frontline,PS2,6.83
Just Dance 4,Wii,6.76
Gears of War 2,X360,6.75
Uncharted 3: Drake's Deception,PS3,6.74
Call of Duty 4: Modern Warfare,PS3,6.68
Uncharted 2: Among Thieves,PS3,6.66
Big Brain Academy,DS,6.62
Red Dead Redemption,PS3,6.49
FIFA 14,PS3,6.47
Assassin's Creed III,PS3,6.45
Donkey Kong Country Returns,Wii,6.44
Halo: Combat Evolved,XB,6.43
The Elder Scrolls V: Skyrim,PS3,6.41
Pokémon Emerald Version,GBA,6.41
Kingdom Hearts,PS2,6.4
Halo 3: ODST,X360,6.34
Red Dead Redemption,X360,6.32
Super Mario Sunshine,GC,6.31
World of Warcraft,PC,6.29
Driver,PS,6.27
Gears of War 3,X360,6.21
Kinect Sports,X360,6.19
Gears of War,X360,6.09
FIFA 15,PS4,6.08
Metal Gear Solid 2: Sons of Liberty,PS2,6.05
Metal Gear Solid,PS,6.03
Metal Gear Solid 4: Guns of the Patriots,PS3,5.99
Final Fantasy XII,PS2,5.95
The Last of Us,PS3,5.87
LittleBigPlanet,PS3,5.82
Resident Evil 2,PS,5.82
Dragon Quest IX: Sentinels of the Starry Skies,DS,5.78
Tekken 2,PS,5.74
Destiny,PS4,5.64
LEGO Star Wars: The Complete Saga,Wii,5.64
Cooking Mama,DS,5.63
Assassin's Creed II,PS3,5.55
Assassin's Creed,X360,5.54
Forza Motorsport 3,X360,5.49
Super Mario Advance,GBA,5.49
Monster Hunter Freedom Unite,PSP,5.48
Batman: Arkham City,PS3,5.48
Grand Theft Auto V,XOne,5.48
Mario Kart: Super Circuit,GBA,5.47
Crash Bandicoot: The Wrath of Cortex,PS2,5.42
Call of Duty: World at War,PS3,5.39
Uncharted 4: A Thief's End,PS4,5.38
Final Fantasy XIII,PS3,5.33
Final Fantasy IX,PS,5.3
Assassin's Creed III,X360,5.29
Final Fantasy X-2,PS2,5.29
Call of Duty: Advanced Warfare,XOne,5.27
Assassin's Creed II,X360,5.26
Madden NFL 2004,PS2,5.23
New Super Mario Bros. U,WiiU,5.22
Dragon Quest VIII: Journey of the Cursed King,PS2,5.21
Professor Layton and the Curious Village,DS,5.19
FIFA Soccer 13,X360,5.16
Diablo III,PC,5.14
Medal of Honor: Rising Sun,PS2,5.13
Guitar Hero II,PS2,5.12
Fable III,X360,5.1
Resident Evil 5,PS3,5.09
The Legend of Zelda: Phantom Hourglass,DS,5.08
FIFA Soccer 11,PS3,5.07
Resident Evil,PS,5.05
Grand Theft Auto: Vice City Stories,PSP,5.03
Tony Hawk's Pro Skater,PS,5.02
Guitar Hero III: Legends of Rock,PS2,4.98
Link's Crossbow Training,Wii,4.98
Fallout 3,X360,4.93
Uncharted: Drake's Fortune,PS3,4.92
Madden NFL 06,PS2,4.91
StarCraft II: Wings of Liberty,PC,4.84
Assassin's Creed,PS3,4.82
God of War III,PS3,4.8
Crash Team Racing,PS,4.79
LEGO Star Wars: The Complete Saga,DS,4.76
Driver 2,PS,4.73
Batman: Arkham City,X360,4.73
Tony Hawk's Pro Skater 2,PS,4.68
The Lord of the Rings: The Two Towers,PS2,4.67
Tomb Raider,PS,4.63
Animal Crossing: City Folk,Wii,4.62
Uncharted: The Nathan Drake Collection,PS4,4.62
The Legend of Zelda: The Wind Waker,GC,4.6
Guitar Hero III: Legends of Rock,Wii,4.6
Luigi's Mansion: Dark Moon,3DS,4.59
Forza Motorsport 4,X360,4.57
Madden NFL 2005,PS2,4.53
Guitar Hero III: Legends of Rock,X360,4.53
Madden NFL 07,PS2,4.49
Halo 5: Guardians,XOne,4.48
Spider-Man: The Movie,PS2,4.48
Call of Duty: Infinite Warfare,PS4,4.46
God of War,PS2,4.45
Splatoon,WiiU,4.43
Nintendo Land,WiiU,4.42
Tony Hawk's Pro Skater 3,PS2,4.41
Winning Eleven: Pro Evolution Soccer 2007,PS2,4.39
The Elder Scrolls IV: Oblivion,X360,4.38
Need for Speed: Most Wanted,PS2,4.37
Michael Jackson: The Experience,Wii,4.36
Resistance: Fall of Man,PS3,4.34
Kingdom Hearts II,PS2,4.33
Super Mario 3D World,WiiU,4.32
Fable II,X360,4.27
Namco Museum,GBA,4.24
Batman: Arkham Asylum,PS3,4.23
Metal Gear Solid 3: Snake Eater,PS2,4.23
Assassin's Creed: Revelations,PS3,4.22
Fallout 4,XOne,4.22
FIFA 14,X360,4.22
Daxter,PSP,4.21
FIFA Soccer 06,PS2,4.21
EyeToy Play,PS2,4.2
Gran Turismo 5 Prologue,PS3,4.19
Assassin's Creed: Revelations,X360,4.19
Street Fighter IV,PS3,4.16
Madden NFL 2003,PS2,4.14
Half-Life,PC,4.12
World of Warcraft: The Burning Crusade,PC,4.09
Battlefield 1,PS4,4.08
God of War II,PS2,4.07
Fallout: New Vegas,X360,4.05
Forza Motorsport 2,X360,4.05
Carnival Games,Wii,4.05
Watch Dogs,PS4,4.05
Tekken Tag Tournament,PS2,4.05
Far Cry 4,PS4,4.04
Left 4 Dead 2,X360,3.97
The Witcher 3: Wild Hunt,PS4,3.97
Assassin's Creed: Unity,PS4,3.96
Batman: Arkham Knight,PS4,3.95
The Legend of Zelda: Skyward Sword,Wii,3.95
Fallout 3,PS3,3.94
Professor Layton and the Diabolical Box,DS,3.94
EA Sports Active,Wii,3.9
Tony Hawk's Underground,PS2,3.9
Monster Hunter 4 Ultimate,3DS,3.89
The Elder Scrolls V: Skyrim,PC,3.88
NBA 2K16,PS4,3.88
Tekken 5,PS2,3.87
MotorStorm,PS3,3.87
World Soccer Winning Eleven 8 International,PS2,3.85
Sports Champions,PS3,3.84
Call of Duty: Ghosts,PS4,3.83
Flash Focus: Vision Training in Minutes a Day,DS,3.83
Tom Clancy's The Division,PS4,3.8
Big Brain Academy: Wii Degree,Wii,3.79
LEGO Indiana Jones: The Original Adventures,X360,3.76
The Sims: Unleashed,PC,3.76
Harry Potter and the Sorcerer's Stone,PS,3.73
Super Paper Mario,Wii,3.71
Spyro: Year of the Dragon,PS,3.71
Assassin's Creed IV: Black Flag,PS3,3.71
FIFA Soccer 2005,PS2,3.7
Tony Hawk's Pro Skater 4,PS2,3.67
MySims,DS,3.66
Midnight Club 3: DUB Edition,PSP,3.65
SOCOM: U.S. Navy SEALs,PS2,3.65
Jak and Daxter: The Precursor Legacy,PS2,3.64
Pro Evolution Soccer 2008,PS2,3.63
Resident Evil 4,PS2,3.62
Guitar Hero: World Tour,Wii,3.62
FIFA Soccer 10,PS3,3.62
Star Wars: Battlefront,PS2,3.61
The Simpsons: Road Rage,PS2,3.61
Luigi's Mansion,GC,3.6
Battlefield 4,PS4,3.59
Star Wars: Battlefront II,PS2,3.59
Cooking Mama 2: Dinner With Friends,DS,3.58
Grand Theft Auto: Liberty City Stories,PS2,3.54
The Getaway,PS2,3.54
James Bond 007: Agent Under Fire,PS2,3.53
FIFA Soccer 11,X360,3.52
Left 4 Dead,X360,3.51
Assassin's Creed: Unity,XOne,3.5
Resident Evil 5,X360,3.5
Assassin's Creed: Brotherhood,X360,3.49
FIFA Soccer 2004,PS2,3.49
Battlefield 4,PS3,3.49
Batman: Arkham Asylum,X360,3.48
Battlefield 4,X360,3.48
Battlefield: Bad Company 2,X360,3.47
Guitar Hero: On Tour,DS,3.46
Clubhouse Games,DS,3.45
Borderlands,X360,3.44
Tekken 4,PS2,3.44
Grand Theft Auto 2,PS,3.42
Metal Gear Solid V: The Phantom Pain,PS4,3.41
Spider-Man 2,PS2,3.41
FIFA Soccer 2003,PS2,3.4
LittleBigPlanet 2,PS3,3.39
Crash Bash,PS,3.39
Assassin's Creed Syndicate,PS4,3.39
LEGO Batman: The Videogame,X360,3.38
Destiny,XOne,3.37
Far Cry 3,PS3,3.35
James Bond 007: Nightfire,PS2,3.33
Star Wars Episode III: Revenge of the Sith,PS2,3.32
The Legend of Zelda: Spirit Tracks,DS,3.31
Max Payne,PS2,3.31
Assassin's Creed IV: Black Flag,X360,3.3
The Lord of the Rings: The Return of the King,PS2,3.28
Gears of War: Ultimate Edition,XOne,3.28
True Crime: Streets of LA,PS2,3.27
Professor Layton and the Unwound Future,DS,3.26
FIFA 16,XOne,3.25
Wii Music,Wii,3.25
Madden NFL 16,PS4,3.24
Gran Turismo 6,PS3,3.23
Halo: The Master Chief Collection,XOne,3.23
Super Mario Maker,WiiU,3.21
God of War: Chains of Olympus,PSP,3.18
Enter the Matrix,PS2,3.18
Crisis Core: Final Fantasy VII,PSP,3.18
Dance Central,X360,3.17
L.A. Noire,PS3,3.17
Ace Combat 04: Shattered Skies,PS2,3.17
Animal Crossing,GC,3.15
FIFA Soccer 08,PS2,3.14
Spider-Man,PS,3.13
Mario Party 9,Wii,3.13
Sonic Rush,DS,3.12
Rhythm Heaven,DS,3.11
Fallout: New Vegas,PS3,3.11
Personal Trainer: Cooking,DS,3.11
The Elder Scrolls IV: Oblivion,PS3,3.1
The Legend of Zelda: A Link Between Worlds,3DS,3.1
Resident Evil 6,PS3,3.1
Mass Effect 2,X360,3.1
Dragon Ball Z: Budokai,PS2,3.09
Madden NFL 2002,PS2,3.08
The Sims: Vacation,PC,3.07
LEGO Batman: The Videogame,Wii,3.06
Animal Crossing: Happy Home Designer,3DS,3.05
The Sims 4,PC,3.05
Borderlands 2,X360,3.05
LEGO Batman: The Videogame,DS,3.05
Kung Fu Panda,X360,3.04
Mass Effect 3,X360,3.04
Heavy Rain,PS3,3.03
Saints Row 2,X360,3.03
Tom Clancy's Splinter Cell,XB,3.02
FIFA 14,PS4,3.01
Killzone 2,PS3,3.01
Far Cry 3,X360,3
Epic Mickey,Wii,3
NBA 2K13,X360,3
Dragon Ball Z: Budokai Tenkaichi 3,PS2,3
The Sims: Livin Large,PC,2.99
World Soccer Winning Eleven 6 International,PS2,2.99
Devil May Cry,PS2,2.99
Star Wars: The Old Republic,PC,2.96
Middle-Earth: Shadow of Mordor,PS4,2.96
Sonic Heroes,PS2,2.96
Hitman 2: Silent Assassin,PS2,2.96
Titanfall,XOne,2.95
Battlefield: Bad Company 2,PS3,2.95
SOCOM II: U.S. Navy SEALs,PS2,2.94
Pac-Man Collection,GBA,2.94
Street Fighter IV,X360,2.94
inFAMOUS,PS3,2.93
Kirby Super Star Ultra,DS,2.92
Call of Duty: Ghosts,XOne,2.92
Mass Effect,X360,2.91
Sonic Mega Collection Plus,PS2,2.9
World Soccer Winning Eleven 7 International,PS2,2.9
Sega Superstars Tennis,X360,2.89
Hot Shots Golf 3,PS2,2.89
Cooking Mama: Cook Off,Wii,2.89
Call of Duty: Finest Hour,PS2,2.89
WarioWare: Smooth Moves,Wii,2.89
Madden NFL 13,X360,2.86
The Elder Scrolls III: Morrowind,XB,2.86
Assassin's Creed IV: Black Flag,PS4,2.85
Mortal Kombat,PS3,2.84
Madden NFL 10,X360,2.83
BioShock,X360,2.83
Metroid Prime,GC,2.82
Assassin's Creed: Brotherhood,PS3,2.82
Medal of Honor,PS3,2.81
inFAMOUS: Second Son,PS4,2.79
NBA Street,PS2,2.79
Jak II,PS2,2.78
Need for Speed: Hot Pursuit,PS3,2.78
Skylanders: Spyro's Adventure,Wii,2.78
Battlefield 3,PC,2.78
Mortal Kombat X,PS4,2.78
The Sims,PS2,2.77
Killzone 3,PS3,2.77
Star Wars: The Force Unleashed,X360,2.77
Yoshi's Island DS,DS,2.76
Saints Row: The Third,X360,2.76
Tekken 6,PS3,2.75
Sonic and the Secret Rings,Wii,2.73
The Legend of Zelda: A Link to the Past,GBA,2.7
Onimusha: Warlords,PS2,2.7
L.A. Noire,X360,2.7
Call of Duty 3,X360,2.7
Madden NFL 12,X360,2.69
LEGO Star Wars II: The Original Trilogy,PS2,2.69
Killzone: Shadow Fall,PS4,2.69
Madden NFL 11,X360,2.69
Burnout 3: Takedown,PS2,2.68
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2.67
Professor Layton and the Last Specter,DS,2.67
Call Of Duty 2: Big Red One,PS2,2.67
Medal of Honor,PS,2.67
Fable,XB,2.66
Guitar Hero: World Tour,X360,2.66
FIFA 17,XOne,2.65
Tom Clancy's Splinter Cell,PS2,2.65
Need for Speed: Shift,PS3,2.65
Medal of Honor Heroes,PSP,2.65
Final Fantasy XIII-2,PS3,2.63
Midnight Club: Street Racing,PS2,2.63
Skate 3,X360,2.63
ESPN NFL 2K5,PS2,2.62
Halo Wars,X360,2.62
NBA 2K12,X360,2.62
FIFA Soccer 10,X360,2.62
Medal of Honor,X360,2.61
Harry Potter and the Chamber of Secrets,PS2,2.61
God of War Collection,PS3,2.6
NBA Live 2005,PS2,2.59
Mario Strikers Charged,Wii,2.58
FIFA Soccer 09,PS3,2.58
Style Savvy,DS,2.58
WWE SmackDown vs. RAW 2007,PS2,2.58
LEGO Star Wars: The Complete Saga,X360,2.57
Madden NFL 08,PS2,2.57
Monster Hunter Freedom 2,PSP,2.57
Sonic Adventure 2 Battle,GC,2.56
Madden NFL 13,PS3,2.56
Dragon Age: Origins,X360,2.56
Pokémon Colosseum,GC,2.54
LittleBigPlanet,PSP,2.54
Madden NFL 09,X360,2.53
Crazy Taxi,PS2,2.52
Art Academy,DS,2.52
NBA 2K14,X360,2.52
Skylanders Giants,Wii,2.52
Deca Sports,Wii,2.5
Marvel: Ultimate Alliance,X360,2.5
Mortal Kombat: Deadly Alliance,PS2,2.49
Game Party,Wii,2.48
Bloodborne,PS4,2.48
Mario Party 4,GC,2.47
Pure,X360,2.47
Rock Band,X360,2.47
NBA 2K13,PS3,2.47
Saints Row: The Third,PS3,2.47
Resistance 2,PS3,2.46
NBA 2K15,PS4,2.45
Final Fantasy Tactics,PS,2.45
Midnight Club: Los Angeles,PS3,2.45
The Sims: Bustin' Out,PS2,2.43
LEGO Harry Potter: Years 1-4,Wii,2.43
Call of Duty: Infinite Warfare,XOne,2.42
Madden NFL 16,XOne,2.42
Tom Clancy's Rainbow Six: Vegas 2,X360,2.42
Need for Speed Carbon: Own the City,PSP,2.42
Dragon Ball Z: Budokai 2,PS2,2.41
pro evolution soccer 2011,PS3,2.41
ATV Offroad Fury,PS2,2.41
Need for Speed: ProStreet,PS2,2.41
Halo: Combat Evolved Anniversary,X360,2.4
Guitar Hero,PS2,2.38
Madden NFL 11,PS3,2.38
Dead Island,X360,2.37
Half-Life 2,PC,2.37
The Incredibles,PS2,2.37
Madden NFL 08,X360,2.37
Tony Hawk's Underground 2,PS2,2.37
Zumba Fitness,X360,2.37
Madden NFL 10,PS3,2.37
Midnight Club: Los Angeles,X360,2.35
Kinect: Disneyland Adventures,X360,2.35
WWE SmackDown vs Raw 2008,PS2,2.34
The Legend of Zelda: Majora's Mask 3D,3DS,2.34
LEGO Indiana Jones: The Original Adventures,Wii,2.34
Resident Evil - Code: Veronica X,PS2,2.34
NBA 2K16,XOne,2.34
Kinect Sports: Season Two,X360,2.34
James Bond 007: Everything or Nothing,PS2,2.31
Need For Speed: High Stakes,PS,2.31
Guild Wars 2,PC,2.31
Paper Mario: Sticker Star,3DS,2.3
Batman: Arkham Origins,PS3,2.29
LEGO Star Wars: The Complete Saga,PS3,2.29
Need for Speed Underground 2,XB,2.28
Pro Evolution Soccer 2010,PS3,2.28
FIFA Soccer 09,PS2,2.28
LEGO Harry Potter: Years 1-4,DS,2.28
The Sims 3,X360,2.28
Pokemon Ranger: Shadows of Almia,DS,2.28
Dead Island,PS3,2.27
Kirby: Nightmare in Dream Land,GBA,2.27
Wario Land 4,GBA,2.26
Sonic's Ultimate Genesis Collection,PS3,2.26
Far Cry: Primal,PS4,2.26
Battlefield 1,XOne,2.25
Onimusha 2: Samurai's Destiny,PS2,2.25
Paper Mario: The Thousand-Year Door,GC,2.25
Madden NFL 12,PS3,2.25
God of War: Ascension,PS3,2.25
Guitar Hero III: Legends of Rock,PS3,2.24
Sonic Advance,GBA,2.24
Super Monkey Ball: Banana Blitz,Wii,2.24
Call of Duty 3,Wii,2.24
New Super Luigi U,WiiU,2.24
Spyro: Season of Ice,GBA,2.23
Dissidia: Final Fantasy,PSP,2.23
Madden NFL 25,X360,2.23
Borderlands 2,PS3,2.23
Prince of Persia: The Sands of Time,PS2,2.22
Monster Hunter Tri,Wii,2.22
LEGO Marvel Super Heroes,X360,2.22
Tom Clancy's Rainbow Six: Siege,PS4,2.21
Star Wars: The Force Unleashed,PS3,2.21
Guitar Hero II,X360,2.2
Forza Motorsport 5,XOne,2.2
Rock Band 2,X360,2.2
Need for Speed: Hot Pursuit,X360,2.2
LEGO Indiana Jones: The Original Adventures,DS,2.2
BioShock 2,X360,2.2
Star Wars: Knights of the Old Republic,XB,2.19
Madden NFL 15,PS4,2.19
Pro Evolution Soccer 2012,PS3,2.19
Saints Row,X360,2.18
ATV Offroad Fury 2,PS2,2.18
FIFA 15,XOne,2.18
Tom Clancy's The Division,XOne,2.16
Final Fantasy XIII,X360,2.16
The Sims: House Party,PC,2.16
Scribblenauts,DS,2.16
Sonic Unleashed,Wii,2.16
Pokemon Ranger,DS,2.15
Overwatch,PS4,2.14
Hitman: Absolution,PS3,2.14
Call of Duty: Roads to Victory,PSP,2.13
Dance Dance Revolution Extreme,PS2,2.13
Final Fantasy Tactics Advance,GBA,2.13
Your Shape featuring Jenny McCarthy,Wii,2.12
Project Gotham Racing,XB,2.12
NBA 2K12,PS3,2.11
Need for Speed: Hot Pursuit 2,PS2,2.11
Dynasty Warriors 4,PS2,2.11
NBA 2K14,PS3,2.11
Parasite Eve,PS,2.1
Tetris DS,DS,2.1
Battlefield: Hardline,PS4,2.1
Mortal Kombat,X360,2.1
Borderlands,PS3,2.09
Devil May Cry 3: Dante's Awakening,PS2,2.09
NBA 2K11,X360,2.09
Dying Light,PS4,2.09
Dead Rising,X360,2.08
World of Warcraft: Cataclysm,PC,2.08
Tetris Worlds,PS2,2.08
Final Fantasy III,DS,2.08
Mario Party 5,GC,2.08
Rock Band,Wii,2.08
Portal 2,X360,2.08
Mario Sports Mix,Wii,2.08
Need for Speed: Most Wanted 5-1-0,PSP,2.07
The Sims 2: Pets,DS,2.07
Dance Dance Revolution: Hottest Party,Wii,2.07
DriveClub,PS4,2.07
UFC 2009 Undisputed,X360,2.06
Metal Gear Solid: Peace Walker,PSP,2.06
R4: Ridge Racer Type 4,PS,2.06
Kingdom Hearts: Birth by Sleep,PSP,2.06
SoulCalibur II,PS2,2.06
Need for Speed: ProStreet,X360,2.05
Sonic Mega Collection,GC,2.05
Need For Speed: Undercover,PS3,2.05
SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2.04
Peter Jackson's King Kong: The Official Game of the Movie,PS2,2.04
Need for Speed: ProStreet,PS3,2.04
Donkey Kong Country,GBA,2.04
Dance Central 2,X360,2.04
Carnival Games,DS,2.03
NBA Live 2004,PS2,2.03
Call of Duty 2,X360,2.03
Rayman Raving Rabbids: TV Party,Wii,2.03
Pokémon Mystery Dungeon: Blue Rescue Team,DS,2.02
Dark Souls,PS3,2.02
Just Dance 3,X360,2.02
Battlefield 4,XOne,2.02
Fire Emblem: Awakening,3DS,2.01
Need for Speed: The Run,PS3,2.01
Dragon Age: Inquisition,PS4,2.01
Dead Space,PS3,2
Mortal Kombat vs. DC Universe,PS3,2
TouchMaster,DS,2
Tenchu: Stealth Assassins,PS,1.99
Harry Potter and the Chamber of Secrets,GBA,1.99
Kingdom Hearts 358/2 Days,DS,1.98
Skate 3,PS3,1.98
Need for Speed Rivals,PS4,1.98
Spyro: Enter the Dragonfly,PS2,1.97
Devil May Cry 2,PS2,1.97
Hot Shots Golf: Open Tee,PSP,1.96
Forza Horizon,X360,1.96
Tom Clancy's Rainbow Six: Vegas,X360,1.95
Crash Nitro Kart,PS2,1.95
Resident Evil 6,X360,1.95
Grand Theft Auto: San Andreas,XB,1.95
NBA Street Vol. 2,PS2,1.95
Def Jam Vendetta,PS2,1.94
Kirby Squeak Squad,DS,1.94
Burnout Paradise,PS3,1.94
The Sims 3,PS3,1.94
FIFA Soccer 09,X360,1.94
Dragon Ball Z: Budokai 3,PS2,1.94
Call of Duty: World at War,Wii,1.94
Tom Clancy's Ghost Recon,PS2,1.94
BioShock Infinite,X360,1.93
X-Men Legends,PS2,1.93
Mortal Kombat vs. DC Universe,X360,1.93
Destiny: The Taken King,PS4,1.93
Red Faction,PS2,1.92
The Sims: Makin' Magic,PC,1.92
Mario Party: Island Tour,3DS,1.92
MX Unleashed,PS2,1.92
PaRappa The Rapper,PS,1.92
Guitar Hero: World Tour,PS3,1.92
Need for Speed: Shift,X360,1.91
Diablo III,PS3,1.91
LittleBigPlanet 3,PS4,1.91
Star Wars Rogue Leader: Rogue Squadron II,GC,1.9
Mario Super Sluggers,Wii,1.89
Monopoly,Wii,1.89
Madden NFL 09,PS3,1.88
Batman: Arkham Origins,X360,1.88
Game Party 2,Wii,1.88
Mortal Kombat: Deception,PS2,1.88
NBA 2K17,PS4,1.88
Toy Story Mania!,Wii,1.88
Star Fox Adventures,GC,1.87
Madden NFL 25,PS3,1.87
Dynasty Warriors 3,PS2,1.87
Madden NFL 06,XB,1.86
Shrek 2,PS2,1.86
The Legend of Dragoon,PS,1.86
Star Wars: The Force Unleashed,Wii,1.86
NBA Live 2002,PS2,1.86
Just Cause 3,PS4,1.86
Chrono Cross,PS,1.86
Jak 3,PS2,1.85
Kingdom Hearts: Chain of Memories,GBA,1.85
Max Payne 3,PS3,1.85
LEGO Marvel Super Heroes,PS3,1.84
Phineas and Ferb,DS,1.84
NCAA Football 06,PS2,1.84
Rayman Raving Rabbids 2,Wii,1.83
Kirby: Triple Deluxe,3DS,1.83
Sonic Classic Collection,DS,1.83
inFAMOUS 2,PS3,1.82
World of Warcraft: Mists of Pandaria,PC,1.82
Namco Museum,PS2,1.82
The Sims: Hot Date,PC,1.82
Demon's Souls,PS3,1.82
The Orange Box,X360,1.82
DDRMAX2: Dance Dance Revolution,PS2,1.81
Virtua Fighter 4,PS2,1.81
Mafia III,PS4,1.81
Sly 2: Band of Thieves,PS2,1.81
Sonic Advance 2,GBA,1.8
Madden NFL 07,X360,1.8
NBA 2K11,PS3,1.8
Forza Motorsport 6,XOne,1.8
The Evil Within,PS4,1.79
Metroid Prime 3: Corruption,Wii,1.79
Midnight Club II,PS2,1.78
The Getaway: Black Monday,PS2,1.78
50 Cent: Bulletproof,PS2,1.77
Dead or Alive 3,XB,1.77
Dragon Quest Monsters: Joker,DS,1.76
LEGO Star Wars III: The Clone Wars,Wii,1.76
UFC 2009 Undisputed,PS3,1.76
The SpongeBob SquarePants Movie,PS2,1.76
Golden Sun,GBA,1.76
Def Jam: Fight for NY,PS2,1.76
Tom Clancy's Ghost Recon,XB,1.76
State of Emergency,PS2,1.76
The Urbz: Sims in the City,PS2,1.76
Star Wars: Starfighter,PS2,1.76
Star Wars: Battlefront,XB,1.75
Madden NFL 17,PS4,1.75
Just Cause 2,PS3,1.75
FIFA Soccer 08,PS3,1.75
Crackdown,X360,1.75
Wii Party U,WiiU,1.75
Dance Dance Revolution X,PS2,1.75
Xenosaga Episode I: Der Wille zur Macht,PS2,1.74
Kinect Star Wars,X360,1.74
Dragon's Dogma,PS3,1.74
The Order: 1886,PS4,1.74
SSX Tricky,PS2,1.73
Knack,PS4,1.73
Dragon Quest VI: Realms of Revelation,DS,1.73
Crash Bandicoot: The Huge Adventure,GBA,1.73
Hitman: Absolution,X360,1.73
The Crew,PS4,1.72
NBA 2K15,XOne,1.72
Madden NFL 2005,XB,1.72
Star Ocean: Till The End of Time,PS2,1.72
Call of Duty: Modern Warfare 3,PC,1.72
Dishonored,X360,1.71
The Beatles: Rock Band,Wii,1.71
Ace Combat 5: The Unsung War,PS2,1.71
Need for Speed Underground,XB,1.71
Deal or No Deal,DS,1.7
Portal 2,PS3,1.7
NCAA Football 07,PS2,1.7
The Sims 3: Late Night Expansion Pack,PC,1.7
No Man's Sky,PS4,1.7
SOCOM 3: U.S. Navy SEALs,PS2,1.69
BioShock Infinite,PS3,1.69
Harry Potter and the Sorcerer's Stone,GBA,1.69
Dragon Ball Z: The Legacy of Goku,GBA,1.69
Resident Evil 4,GC,1.69
Need For Speed: Undercover,X360,1.68
Sonic Colors,Wii,1.68
Saints Row 2,PS3,1.68
Sid Meier's Civilization V,PC,1.68
The Sims: Superstar,PC,1.68
Metroid Fusion,GBA,1.68
We Ski,Wii,1.67
Star Wars Battlefront: Renegade Squadron,PSP,1.67
SSX 3,PS2,1.67
Madden NFL 2001,PS,1.67
Star Wars: Battlefront II,XB,1.67
Tony Hawk's Pro Skater 3,PS,1.67
Dragon Age: Origins,PS3,1.67
Spy Hunter,PS2,1.67
NCAA Football 2004,PS2,1.67
Fight Night Round 3,PS3,1.67
StarCraft II: Heart of the Swarm,PC,1.67
SpongeBob SquarePants: Battle for Bikini Bottom,PS2,1.67
Until Dawn,PS4,1.66
Big Beach Sports,Wii,1.66
SSX,PS2,1.66
Shaun White Snowboarding: Road Trip,Wii,1.66
